,b,f,n,snr,variable,value,Error Type,Segmentation Method,Signal to Noise Ratio,Error Rate
31,24,94,19,3.68421052632,four_means_ce,-0.7631579,Object Count Error,four_means,3.68421052632,-0.7631579
32,35,201,17,9.76470588235,four_means_ce,0.0,Object Count Error,four_means,9.76470588235,0.0
33,35,162,6,21.1666666667,four_means_ce,0.0,Object Count Error,four_means,21.1666666667,0.0
34,6,147,16,8.8125,four_means_ce,0.0,Object Count Error,four_means,8.8125,0.0
35,6,221,25,8.6,four_means_ce,0.0,Object Count Error,four_means,8.6,0.0
36,33,181,11,13.4545454545,four_means_ce,0.0,Object Count Error,four_means,13.4545454545,0.0
37,41,229,8,23.5,four_means_ce,0.0,Object Count Error,four_means,23.5,0.0
38,19,169,10,15.0,four_means_ce,0.0,Object Count Error,four_means,15.0,0.0
39,50,173,14,8.78571428571,four_means_ce,0.0,Object Count Error,four_means,8.78571428571,0.0
40,11,196,23,8.04347826087,four_means_ce,0.0,Object Count Error,four_means,8.04347826087,0.0
41,12,229,21,10.3333333333,four_means_ce,0.0,Object Count Error,four_means,10.3333333333,0.0
42,25,101,21,3.61904761905,four_means_ce,-0.86409396,Object Count Error,four_means,3.61904761905,-0.86409396
43,6,133,19,6.68421052632,four_means_ce,-0.010238908,Object Count Error,four_means,6.68421052632,-0.010238908
44,25,84,6,9.83333333333,four_means_ce,0.0,Object Count Error,four_means,9.83333333333,0.0
45,4,154,14,10.7142857143,four_means_ce,0.0,Object Count Error,four_means,10.7142857143,0.0
46,2,104,23,4.4347826087,four_means_ce,-0.22278057,Object Count Error,four_means,4.4347826087,-0.22278057
47,44,232,25,7.52,four_means_ce,0.0,Object Count Error,four_means,7.52,0.0
48,44,132,22,4.0,four_means_ce,-0.50247115,Object Count Error,four_means,4.0,-0.50247115
49,19,169,19,7.89473684211,four_means_ce,-0.001633987,Object Count Error,four_means,7.89473684211,-0.001633987
50,15,217,16,12.625,four_means_ce,0.0,Object Count Error,four_means,12.625,0.0
51,1,213,17,12.4705882353,four_means_ce,0.0,Object Count Error,four_means,12.4705882353,0.0
52,18,129,7,15.8571428571,four_means_ce,0.0,Object Count Error,four_means,15.8571428571,0.0
53,31,212,7,25.8571428571,four_means_ce,0.0,Object Count Error,four_means,25.8571428571,0.0
54,7,167,15,10.6666666667,four_means_ce,0.0,Object Count Error,four_means,10.6666666667,0.0
55,5,205,10,20.0,four_means_ce,0.0,Object Count Error,four_means,20.0,0.0
56,34,119,13,6.53846153846,four_means_ce,-0.011864407,Object Count Error,four_means,6.53846153846,-0.011864407
57,32,173,15,9.4,four_means_ce,0.0,Object Count Error,four_means,9.4,0.0
58,13,90,10,7.7,four_means_ce,0.0,Object Count Error,four_means,7.7,0.0
59,20,227,18,11.5,four_means_ce,0.0,Object Count Error,four_means,11.5,0.0
60,26,132,24,4.41666666667,four_means_ce,-0.2638889,Object Count Error,four_means,4.41666666667,-0.2638889
61,48,200,11,13.8181818182,four_means_ce,0.0,Object Count Error,four_means,13.8181818182,0.0
62,21,236,6,35.8333333333,four_means_ce,0.0,Object Count Error,four_means,35.8333333333,0.0
63,9,210,10,20.1,four_means_ce,0.0,Object Count Error,four_means,20.1,0.0
64,1,217,18,12.0,four_means_ce,0.0,Object Count Error,four_means,12.0,0.0
65,38,176,8,17.25,four_means_ce,0.0,Object Count Error,four_means,17.25,0.0
66,12,125,15,7.53333333333,four_means_ce,0.0,Object Count Error,four_means,7.53333333333,0.0
67,37,149,25,4.48,four_means_ce,-0.29131174,Object Count Error,four_means,4.48,-0.29131174
68,49,225,10,17.6,four_means_ce,0.0,Object Count Error,four_means,17.6,0.0
69,19,217,5,39.6,four_means_ce,0.0,Object Count Error,four_means,39.6,0.0
70,50,212,14,11.5714285714,four_means_ce,0.0,Object Count Error,four_means,11.5714285714,0.0
71,45,141,7,13.7142857143,four_means_ce,0.0,Object Count Error,four_means,13.7142857143,0.0
72,22,115,22,4.22727272727,four_means_ce,-0.33226836,Object Count Error,four_means,4.22727272727,-0.33226836
73,14,117,20,5.15,four_means_ce,-0.06655574,Object Count Error,four_means,5.15,-0.06655574
74,20,141,23,5.26086956522,four_means_ce,-0.067993365,Object Count Error,four_means,5.26086956522,-0.067993365
75,8,204,15,13.0666666667,four_means_ce,0.0,Object Count Error,four_means,13.0666666667,0.0
76,32,193,15,10.7333333333,four_means_ce,0.0,Object Count Error,four_means,10.7333333333,0.0
77,35,160,7,17.8571428571,four_means_ce,0.0,Object Count Error,four_means,17.8571428571,0.0
78,6,197,22,8.68181818182,four_means_ce,0.0,Object Count Error,four_means,8.68181818182,0.0
79,16,113,5,19.4,four_means_ce,0.0,Object Count Error,four_means,19.4,0.0
80,50,144,6,15.6666666667,four_means_ce,0.0,Object Count Error,four_means,15.6666666667,0.0
81,4,218,6,35.6666666667,four_means_ce,0.0,Object Count Error,four_means,35.6666666667,0.0
82,6,61,11,5.0,four_means_ce,-0.08688524,Object Count Error,four_means,5.0,-0.08688524
83,13,83,17,4.11764705882,four_means_ce,-0.4490818,Object Count Error,four_means,4.11764705882,-0.4490818
84,26,201,24,7.29166666667,four_means_ce,0.0,Object Count Error,four_means,7.29166666667,0.0
85,20,175,17,9.11764705882,four_means_ce,0.0,Object Count Error,four_means,9.11764705882,0.0
86,4,151,15,9.8,four_means_ce,0.0,Object Count Error,four_means,9.8,0.0
87,14,127,8,14.125,four_means_ce,0.0,Object Count Error,four_means,14.125,0.0
88,7,166,10,15.9,four_means_ce,0.0,Object Count Error,four_means,15.9,0.0
89,22,192,22,7.72727272727,four_means_ce,-0.0016260162,Object Count Error,four_means,7.72727272727,-0.0016260162
90,25,237,5,42.4,four_means_ce,0.0,Object Count Error,four_means,42.4,0.0
91,50,179,16,8.0625,four_means_ce,0.0,Object Count Error,four_means,8.0625,0.0
92,47,191,9,16.0,four_means_ce,0.0,Object Count Error,four_means,16.0,0.0
93,23,179,21,7.42857142857,four_means_ce,-0.0033955858,Object Count Error,four_means,7.42857142857,-0.0033955858
94,10,128,18,6.55555555556,four_means_ce,-0.0016260162,Object Count Error,four_means,6.55555555556,-0.0016260162
95,36,176,13,10.7692307692,four_means_ce,0.0,Object Count Error,four_means,10.7692307692,0.0
96,21,113,19,4.84210526316,four_means_ce,-0.15282393,Object Count Error,four_means,4.84210526316,-0.15282393
97,50,202,25,6.08,four_means_ce,-0.021452146,Object Count Error,four_means,6.08,-0.021452146
98,24,92,8,8.5,four_means_ce,0.0,Object Count Error,four_means,8.5,0.0
99,23,88,11,5.90909090909,four_means_ce,-0.03533569,Object Count Error,four_means,5.90909090909,-0.03533569
100,13,64,19,2.68421052632,four_means_ce,-3.52657,Object Count Error,four_means,2.68421052632,-3.52657
101,21,180,22,7.22727272727,four_means_ce,0.0,Object Count Error,four_means,7.22727272727,0.0
102,1,210,8,26.125,four_means_ce,0.0,Object Count Error,four_means,26.125,0.0
103,6,60,22,2.45454545455,four_means_ce,-5.097104,Object Count Error,four_means,2.45454545455,-5.097104
104,7,217,16,13.125,four_means_ce,0.0,Object Count Error,four_means,13.125,0.0
105,26,200,6,29.0,four_means_ce,0.0,Object Count Error,four_means,29.0,0.0
106,17,122,15,7.0,four_means_ce,-0.0034722222,Object Count Error,four_means,7.0,-0.0034722222
107,32,151,8,14.875,four_means_ce,0.0,Object Count Error,four_means,14.875,0.0
108,29,188,12,13.25,four_means_ce,0.0,Object Count Error,four_means,13.25,0.0
109,20,204,21,8.7619047619,four_means_ce,0.0,Object Count Error,four_means,8.7619047619,0.0
110,6,237,8,28.875,four_means_ce,0.0,Object Count Error,four_means,28.875,0.0
111,16,131,21,5.47619047619,four_means_ce,-0.08401977,Object Count Error,four_means,5.47619047619,-0.08401977
112,1,163,8,20.25,four_means_ce,0.0,Object Count Error,four_means,20.25,0.0
113,22,68,5,9.2,four_means_ce,0.0,Object Count Error,four_means,9.2,0.0
114,16,222,9,22.8888888889,four_means_ce,0.0,Object Count Error,four_means,22.8888888889,0.0
115,23,153,11,11.8181818182,four_means_ce,0.0,Object Count Error,four_means,11.8181818182,0.0
116,32,119,9,9.66666666667,four_means_ce,0.0,Object Count Error,four_means,9.66666666667,0.0
117,48,136,22,4.0,four_means_ce,-0.49197862,Object Count Error,four_means,4.0,-0.49197862
118,45,156,21,5.28571428571,four_means_ce,-0.061488673,Object Count Error,four_means,5.28571428571,-0.061488673
119,36,230,23,8.4347826087,four_means_ce,0.0,Object Count Error,four_means,8.4347826087,0.0
120,6,170,23,7.13043478261,four_means_ce,0.0,Object Count Error,four_means,7.13043478261,0.0
121,26,157,22,5.95454545455,four_means_ce,-0.018867925,Object Count Error,four_means,5.95454545455,-0.018867925
122,47,198,22,6.86363636364,four_means_ce,-0.0034904014,Object Count Error,four_means,6.86363636364,-0.0034904014
123,20,229,8,26.125,four_means_ce,0.0,Object Count Error,four_means,26.125,0.0
124,28,180,10,15.2,four_means_ce,0.0,Object Count Error,four_means,15.2,0.0
125,19,137,6,19.6666666667,four_means_ce,0.0,Object Count Error,four_means,19.6666666667,0.0
126,10,225,22,9.77272727273,four_means_ce,0.0,Object Count Error,four_means,9.77272727273,0.0
127,11,106,23,4.13043478261,four_means_ce,-0.4278607,Object Count Error,four_means,4.13043478261,-0.4278607
128,34,225,19,10.0526315789,four_means_ce,0.0,Object Count Error,four_means,10.0526315789,0.0
129,17,140,16,7.6875,four_means_ce,0.0,Object Count Error,four_means,7.6875,0.0
130,32,230,7,28.2857142857,four_means_ce,0.0,Object Count Error,four_means,28.2857142857,0.0
131,5,100,25,3.8,four_means_ce,-0.66206896,Object Count Error,four_means,3.8,-0.66206896
132,4,107,9,11.4444444444,four_means_ce,0.0,Object Count Error,four_means,11.4444444444,0.0
133,7,156,16,9.3125,four_means_ce,0.0,Object Count Error,four_means,9.3125,0.0
134,8,98,17,5.29411764706,four_means_ce,-0.06866197,Object Count Error,four_means,5.29411764706,-0.06866197
135,38,130,17,5.41176470588,four_means_ce,-0.054577466,Object Count Error,four_means,5.41176470588,-0.054577466
136,8,217,22,9.5,four_means_ce,0.0017361111,Object Count Error,four_means,9.5,0.0017361111
137,6,132,12,10.5,four_means_ce,0.0,Object Count Error,four_means,10.5,0.0
138,39,138,19,5.21052631579,four_means_ce,-0.08482871,Object Count Error,four_means,5.21052631579,-0.08482871
139,47,170,25,4.92,four_means_ce,-0.12541807,Object Count Error,four_means,4.92,-0.12541807
140,34,158,6,20.6666666667,four_means_ce,0.0,Object Count Error,four_means,20.6666666667,0.0
141,2,217,18,11.9444444444,four_means_ce,0.0,Object Count Error,four_means,11.9444444444,0.0
142,31,117,9,9.55555555556,four_means_ce,0.0,Object Count Error,four_means,9.55555555556,0.0
143,24,221,12,16.4166666667,four_means_ce,0.0,Object Count Error,four_means,16.4166666667,0.0
144,50,102,8,6.5,four_means_ce,-0.0089126555,Object Count Error,four_means,6.5,-0.0089126555
145,43,218,15,11.6666666667,four_means_ce,0.0,Object Count Error,four_means,11.6666666667,0.0
146,22,94,12,6.0,four_means_ce,-0.020168068,Object Count Error,four_means,6.0,-0.020168068
147,20,206,6,31.0,four_means_ce,0.0,Object Count Error,four_means,31.0,0.0
148,42,175,24,5.54166666667,four_means_ce,-0.045307443,Object Count Error,four_means,5.54166666667,-0.045307443
149,39,172,24,5.54166666667,four_means_ce,-0.041811846,Object Count Error,four_means,5.54166666667,-0.041811846
150,10,73,16,3.9375,four_means_ce,-0.5522648,Object Count Error,four_means,3.9375,-0.5522648
151,12,166,6,25.6666666667,four_means_ce,0.0,Object Count Error,four_means,25.6666666667,0.0
152,3,205,7,28.8571428571,four_means_ce,0.0,Object Count Error,four_means,28.8571428571,0.0
153,11,186,7,25.0,four_means_ce,0.0,Object Count Error,four_means,25.0,0.0
154,4,59,19,2.89473684211,four_means_ce,-2.2429023,Object Count Error,four_means,2.89473684211,-2.2429023
155,25,122,5,19.4,four_means_ce,0.0,Object Count Error,four_means,19.4,0.0
156,13,199,13,14.3076923077,four_means_ce,0.0,Object Count Error,four_means,14.3076923077,0.0
157,2,184,6,30.3333333333,four_means_ce,0.0,Object Count Error,four_means,30.3333333333,0.0
158,45,155,20,5.5,four_means_ce,-0.034539472,Object Count Error,four_means,5.5,-0.034539472
159,40,197,11,14.2727272727,four_means_ce,0.0,Object Count Error,four_means,14.2727272727,0.0
160,40,118,6,13.0,four_means_ce,0.0,Object Count Error,four_means,13.0,0.0
161,47,137,22,4.09090909091,four_means_ce,-0.42105263,Object Count Error,four_means,4.09090909091,-0.42105263
162,47,184,24,5.70833333333,four_means_ce,-0.029616725,Object Count Error,four_means,5.70833333333,-0.029616725
163,50,220,11,15.4545454545,four_means_ce,0.0,Object Count Error,four_means,15.4545454545,0.0
164,21,69,14,3.42857142857,four_means_ce,-1.1256454,Object Count Error,four_means,3.42857142857,-1.1256454
165,35,232,5,39.4,four_means_ce,0.0,Object Count Error,four_means,39.4,0.0
166,14,131,14,8.35714285714,four_means_ce,0.0,Object Count Error,four_means,8.35714285714,0.0
167,1,173,8,21.5,four_means_ce,0.0,Object Count Error,four_means,21.5,0.0
168,40,91,21,2.42857142857,four_means_ce,-4.3777037,Object Count Error,four_means,2.42857142857,-4.3777037
169,26,161,11,12.2727272727,four_means_ce,0.0,Object Count Error,four_means,12.2727272727,0.0
170,39,83,22,2.0,four_means_ce,-7.0514097,Object Count Error,four_means,2.0,-7.0514097
171,2,144,21,6.7619047619,four_means_ce,-0.0017211704,Object Count Error,four_means,6.7619047619,-0.0017211704
172,50,146,17,5.64705882353,four_means_ce,-0.038590603,Object Count Error,four_means,5.64705882353,-0.038590603
173,8,240,10,23.2,four_means_ce,0.0,Object Count Error,four_means,23.2,0.0
174,27,92,7,9.28571428571,four_means_ce,0.0,Object Count Error,four_means,9.28571428571,0.0
175,2,158,25,6.24,four_means_ce,-0.013490725,Object Count Error,four_means,6.24,-0.013490725
176,19,194,12,14.5833333333,four_means_ce,0.0,Object Count Error,four_means,14.5833333333,0.0
177,15,97,18,4.55555555556,four_means_ce,-0.28727272,Object Count Error,four_means,4.55555555556,-0.28727272
178,25,231,21,9.80952380952,four_means_ce,0.0,Object Count Error,four_means,9.80952380952,0.0
179,38,97,11,5.36363636364,four_means_ce,-0.063725494,Object Count Error,four_means,5.36363636364,-0.063725494
180,27,177,22,6.81818181818,four_means_ce,-0.0016835016,Object Count Error,four_means,6.81818181818,-0.0016835016
181,49,175,17,7.41176470588,four_means_ce,-0.0017482517,Object Count Error,four_means,7.41176470588,-0.0017482517
182,48,126,16,4.875,four_means_ce,-0.11784512,Object Count Error,four_means,4.875,-0.11784512
183,22,110,5,17.6,four_means_ce,0.0,Object Count Error,four_means,17.6,0.0
184,14,239,18,12.5,four_means_ce,0.0,Object Count Error,four_means,12.5,0.0
185,17,105,20,4.4,four_means_ce,-0.29757786,Object Count Error,four_means,4.4,-0.29757786
186,8,183,16,10.9375,four_means_ce,0.0,Object Count Error,four_means,10.9375,0.0
187,50,236,14,13.2857142857,four_means_ce,0.0,Object Count Error,four_means,13.2857142857,0.0
188,12,208,8,24.5,four_means_ce,0.0,Object Count Error,four_means,24.5,0.0
189,42,87,12,3.75,four_means_ce,-0.6795491,Object Count Error,four_means,3.75,-0.6795491
190,2,239,9,26.3333333333,four_means_ce,0.0,Object Count Error,four_means,26.3333333333,0.0
191,11,187,10,17.6,four_means_ce,0.0,Object Count Error,four_means,17.6,0.0
192,48,111,18,3.5,four_means_ce,-1.007776,Object Count Error,four_means,3.5,-1.007776
193,39,85,24,1.91666666667,four_means_ce,-7.633391,Object Count Error,four_means,1.91666666667,-7.633391
194,42,144,17,6.0,four_means_ce,-0.016233766,Object Count Error,four_means,6.0,-0.016233766
195,18,176,23,6.86956521739,four_means_ce,-0.008650519,Object Count Error,four_means,6.86956521739,-0.008650519
196,9,170,12,13.4166666667,four_means_ce,0.0,Object Count Error,four_means,13.4166666667,0.0
197,29,215,12,15.5,four_means_ce,0.0,Object Count Error,four_means,15.5,0.0
198,19,104,14,6.07142857143,four_means_ce,-0.0066225166,Object Count Error,four_means,6.07142857143,-0.0066225166
199,17,199,22,8.27272727273,four_means_ce,0.0,Object Count Error,four_means,8.27272727273,0.0
200,17,239,22,10.0909090909,four_means_ce,0.0,Object Count Error,four_means,10.0909090909,0.0
201,31,226,14,13.9285714286,four_means_ce,0.0,Object Count Error,four_means,13.9285714286,0.0
202,22,143,21,5.7619047619,four_means_ce,-0.030351438,Object Count Error,four_means,5.7619047619,-0.030351438
203,21,186,23,7.17391304348,four_means_ce,0.0,Object Count Error,four_means,7.17391304348,0.0
204,22,135,24,4.70833333333,four_means_ce,-0.14593698,Object Count Error,four_means,4.70833333333,-0.14593698
205,26,238,24,8.83333333333,four_means_ce,0.0,Object Count Error,four_means,8.83333333333,0.0
206,19,76,17,3.35294117647,four_means_ce,-1.2292359,Object Count Error,four_means,3.35294117647,-1.2292359
207,2,217,17,12.6470588235,four_means_ce,0.0,Object Count Error,four_means,12.6470588235,0.0
208,12,199,12,15.5833333333,four_means_ce,0.0,Object Count Error,four_means,15.5833333333,0.0
209,5,207,25,8.08,four_means_ce,0.0,Object Count Error,four_means,8.08,0.0
210,47,236,23,8.21739130435,four_means_ce,0.0,Object Count Error,four_means,8.21739130435,0.0
211,43,149,18,5.88888888889,four_means_ce,-0.022968197,Object Count Error,four_means,5.88888888889,-0.022968197
212,14,172,17,9.29411764706,four_means_ce,0.0,Object Count Error,four_means,9.29411764706,0.0
213,15,123,19,5.68421052632,four_means_ce,-0.038397327,Object Count Error,four_means,5.68421052632,-0.038397327
214,2,102,24,4.16666666667,four_means_ce,-0.40917107,Object Count Error,four_means,4.16666666667,-0.40917107
215,25,125,18,5.55555555556,four_means_ce,-0.038523275,Object Count Error,four_means,5.55555555556,-0.038523275
216,12,224,8,26.5,four_means_ce,0.0,Object Count Error,four_means,26.5,0.0
217,38,204,24,6.91666666667,four_means_ce,-0.004854369,Object Count Error,four_means,6.91666666667,-0.004854369
218,6,185,17,10.5294117647,four_means_ce,0.0,Object Count Error,four_means,10.5294117647,0.0
219,29,116,24,3.625,four_means_ce,-0.79512197,Object Count Error,four_means,3.625,-0.79512197
220,1,240,24,9.95833333333,four_means_ce,0.0,Object Count Error,four_means,9.95833333333,0.0
221,38,210,24,7.16666666667,four_means_ce,-0.0034843206,Object Count Error,four_means,7.16666666667,-0.0034843206
222,36,216,9,20.0,four_means_ce,0.0,Object Count Error,four_means,20.0,0.0
223,31,188,23,6.82608695652,four_means_ce,-0.0016977929,Object Count Error,four_means,6.82608695652,-0.0016977929
224,4,220,25,8.64,four_means_ce,0.0,Object Count Error,four_means,8.64,0.0
225,2,147,17,8.52941176471,four_means_ce,-0.0016583748,Object Count Error,four_means,8.52941176471,-0.0016583748
226,14,214,5,40.0,four_means_ce,0.0,Object Count Error,four_means,40.0,0.0
227,30,89,14,4.21428571429,four_means_ce,-0.3580858,Object Count Error,four_means,4.21428571429,-0.3580858
228,5,203,6,33.0,four_means_ce,0.0,Object Count Error,four_means,33.0,0.0
229,9,159,24,6.25,four_means_ce,-0.01590106,Object Count Error,four_means,6.25,-0.01590106
230,41,205,7,23.4285714286,four_means_ce,0.0,Object Count Error,four_means,23.4285714286,0.0
231,23,209,15,12.4,four_means_ce,0.0,Object Count Error,four_means,12.4,0.0
232,14,145,12,10.9166666667,four_means_ce,0.0,Object Count Error,four_means,10.9166666667,0.0
233,25,226,9,22.3333333333,four_means_ce,0.0,Object Count Error,four_means,22.3333333333,0.0
234,31,111,13,6.15384615385,four_means_ce,-0.014084507,Object Count Error,four_means,6.15384615385,-0.014084507
235,19,236,10,21.7,four_means_ce,0.0,Object Count Error,four_means,21.7,0.0
236,17,111,9,10.4444444444,four_means_ce,0.0017361111,Object Count Error,four_means,10.4444444444,0.0017361111
237,33,155,9,13.5555555556,four_means_ce,0.0,Object Count Error,four_means,13.5555555556,0.0
238,39,211,15,11.4666666667,four_means_ce,0.0,Object Count Error,four_means,11.4666666667,0.0
239,33,195,20,8.1,four_means_ce,0.0,Object Count Error,four_means,8.1,0.0
240,18,179,23,7.0,four_means_ce,-0.0049751243,Object Count Error,four_means,7.0,-0.0049751243
241,15,59,14,3.14285714286,four_means_ce,-1.6688633,Object Count Error,four_means,3.14285714286,-1.6688633
242,49,156,17,6.29411764706,four_means_ce,-0.011551155,Object Count Error,four_means,6.29411764706,-0.011551155
243,6,100,9,10.4444444444,four_means_ce,0.0,Object Count Error,four_means,10.4444444444,0.0
244,46,172,20,6.3,four_means_ce,-0.012477718,Object Count Error,four_means,6.3,-0.012477718
245,9,136,24,5.29166666667,four_means_ce,-0.094527364,Object Count Error,four_means,5.29166666667,-0.094527364
246,46,229,21,8.71428571429,four_means_ce,0.0,Object Count Error,four_means,8.71428571429,0.0
247,14,237,20,11.15,four_means_ce,0.0,Object Count Error,four_means,11.15,0.0
248,14,93,5,15.8,four_means_ce,0.0,Object Count Error,four_means,15.8,0.0
249,40,165,6,20.8333333333,four_means_ce,0.0,Object Count Error,four_means,20.8333333333,0.0
250,33,153,10,12.0,four_means_ce,0.0,Object Count Error,four_means,12.0,0.0
251,2,51,21,2.33333333333,four_means_ce,-4.7855916,Object Count Error,four_means,2.33333333333,-4.7855916
252,1,132,11,11.9090909091,four_means_ce,0.0,Object Count Error,four_means,11.9090909091,0.0
253,6,200,23,8.4347826087,four_means_ce,0.0,Object Count Error,four_means,8.4347826087,0.0
254,36,124,22,4.0,four_means_ce,-0.44479495,Object Count Error,four_means,4.0,-0.44479495
255,3,95,6,15.3333333333,four_means_ce,0.0,Object Count Error,four_means,15.3333333333,0.0
256,37,192,20,7.75,four_means_ce,-0.0016420361,Object Count Error,four_means,7.75,-0.0016420361
257,22,149,12,10.5833333333,four_means_ce,0.0,Object Count Error,four_means,10.5833333333,0.0
258,40,215,13,13.4615384615,four_means_ce,0.0,Object Count Error,four_means,13.4615384615,0.0
259,47,235,5,37.6,four_means_ce,0.0,Object Count Error,four_means,37.6,0.0
260,26,103,18,4.27777777778,four_means_ce,-0.35986733,Object Count Error,four_means,4.27777777778,-0.35986733
261,19,77,24,2.41666666667,four_means_ce,-4.67193,Object Count Error,four_means,2.41666666667,-4.67193
262,32,118,25,3.44,four_means_ce,-1.1724739,Object Count Error,four_means,3.44,-1.1724739
263,41,131,18,5.0,four_means_ce,-0.1305842,Object Count Error,four_means,5.0,-0.1305842
264,37,161,13,9.53846153846,four_means_ce,0.0,Object Count Error,four_means,9.53846153846,0.0
265,37,164,24,5.29166666667,four_means_ce,-0.0734767,Object Count Error,four_means,5.29166666667,-0.0734767
266,17,58,5,8.2,four_means_ce,0.0,Object Count Error,four_means,8.2,0.0
267,29,134,6,17.5,four_means_ce,0.0,Object Count Error,four_means,17.5,0.0
268,30,196,12,13.8333333333,four_means_ce,0.0,Object Count Error,four_means,13.8333333333,0.0
269,26,70,9,4.88888888889,four_means_ce,-0.18032786,Object Count Error,four_means,4.88888888889,-0.18032786
270,8,152,25,5.76,four_means_ce,-0.029850746,Object Count Error,four_means,5.76,-0.029850746
271,28,209,19,9.52631578947,four_means_ce,0.0,Object Count Error,four_means,9.52631578947,0.0
272,11,78,24,2.79166666667,four_means_ce,-2.8238256,Object Count Error,four_means,2.79166666667,-2.8238256
273,26,128,25,4.08,four_means_ce,-0.43515357,Object Count Error,four_means,4.08,-0.43515357
274,12,214,22,9.18181818182,four_means_ce,0.0,Object Count Error,four_means,9.18181818182,0.0
275,31,154,21,5.85714285714,four_means_ce,-0.021922428,Object Count Error,four_means,5.85714285714,-0.021922428
276,33,170,16,8.5625,four_means_ce,0.0,Object Count Error,four_means,8.5625,0.0
277,44,86,24,1.75,four_means_ce,-8.276363,Object Count Error,four_means,1.75,-8.276363
278,12,112,12,8.33333333333,four_means_ce,-0.0016474464,Object Count Error,four_means,8.33333333333,-0.0016474464
279,44,173,22,5.86363636364,four_means_ce,-0.03267974,Object Count Error,four_means,5.86363636364,-0.03267974
280,19,63,6,7.33333333333,four_means_ce,-0.0016835016,Object Count Error,four_means,7.33333333333,-0.0016835016
281,30,142,14,8.0,four_means_ce,-0.0017482517,Object Count Error,four_means,8.0,-0.0017482517
282,24,150,16,7.875,four_means_ce,0.0,Object Count Error,four_means,7.875,0.0
283,10,175,9,18.3333333333,four_means_ce,0.0,Object Count Error,four_means,18.3333333333,0.0
284,13,200,9,20.7777777778,four_means_ce,0.0,Object Count Error,four_means,20.7777777778,0.0
285,10,133,14,8.78571428571,four_means_ce,0.0,Object Count Error,four_means,8.78571428571,0.0
286,50,236,10,18.6,four_means_ce,0.0,Object Count Error,four_means,18.6,0.0
287,15,174,8,19.875,four_means_ce,0.0,Object Count Error,four_means,19.875,0.0
288,20,175,25,6.2,four_means_ce,-0.023339318,Object Count Error,four_means,6.2,-0.023339318
